"","2.5 percentile","50 percentile","97.5 percentile","Rhat (descending)","Percentile.Rhat (100%)"
"a.c[200]",1.04457722960093,1.05145515990823,1.05873813611552,1.14907443308124,0.00760282825210979
"logP.ct[200,211]",-0.00639354323071208,0.000663333442590625,0.00748136571100826,1.14001434226795,0.0152056565042196
"logP.ct[200,206]",-0.0087578042976467,-0.00174142148455653,0.00507495092307042,1.13965547698125,0.0228084847563294
"logP.ct[200,261]",-0.00984184873863208,-0.00266403084228935,0.00425466490234998,1.13870624457876,0.0304113130084391
"logP.ct[200,251]",-0.00982266034817637,-0.0027005865427598,0.00410736828274529,1.13866855364112,0.0380141412605489
"logP.ct[200,258]",-0.00997907001283259,-0.00287520740667953,0.0040757445679845,1.13857010839083,0.0456169695126587
"logP.ct[200,214]",-0.00970205446011786,-0.00251062987021392,0.00430948197415305,1.13845049647297,0.0532197977647685
"logP.ct[200,207]",-0.00921652130035825,-0.00218674767082934,0.00470614838802157,1.13811718812199,0.0608226260168783
"logP.ct[200,205]",-0.00797775319046891,-0.000903168560966372,0.005894884783678,1.13799934628288,0.0684254542689881
"logP.ct[200,208]",-0.00950322539076278,-0.00234828164283284,0.00445948442457058,1.13799266157491,0.0760282825210978
"logP.ct[200,253]",-0.00931401012339642,-0.00205411700980964,0.00474239440885975,1.13797006096227,0.0836311107732076
"logP.ct[200,237]",-0.00873664278886935,-0.00163188856083986,0.00515515367335035,1.13777284862399,0.0912339390253174
"logP.ct[200,209]",-0.00864109589169068,-0.00149414274775149,0.00531912330015011,1.13773799941903,0.0988367672774272
"logP.ct[200,244]",-0.0112588296820644,-0.00402540957074728,0.00274668554337529,1.13755928216274,0.106439595529537
"logP.ct[200,238]",-0.00895207045623104,-0.00187312811177338,0.0049043654292939,1.13748172235866,0.114042423781647
"logP.ct[200,259]",-0.00958279008734915,-0.00253918194439578,0.00438990363963121,1.13745961312747,0.121645252033757
"logP.ct[200,240]",-0.00863616790073047,-0.00157060801185624,0.00526077758947918,1.13713289080755,0.129248080285866
"logP.ct[200,201]",-0.00559636406549797,0.00157117370987669,0.00833803203950114,1.13706205576222,0.136850908537976
"logP.ct[200,264]",-0.0112879693927335,-0.00417521026472403,0.0026044603813457,1.13699223323132,0.144453736790086
"logP.ct[200,216]",-0.00558866074988008,0.00167650233132649,0.00843756795137346,1.13658553817788,0.152056565042196
"logP.ct[200,249]",-0.0123904160578311,-0.00519111359813529,0.00163357638671886,1.13649498475775,0.159659393294305
"logP.ct[200,255]",-0.0108070508218194,-0.00374392674039917,0.00315845014893865,1.1363978154653,0.167262221546415
"logP.ct[200,199]",-0.00660691789895184,0.000642054566166647,0.00750391805869024,1.1362424740556,0.174865049798525
"logP.ct[200,233]",-0.00676356389181555,0.000402909023235632,0.0072310731460556,1.1362419546675,0.182467878050635
"logP.ct[200,245]",-0.0108280422517499,-0.00364744815846748,0.00325396325675197,1.13617892860551,0.190070706302745
"logP.ct[200,235]",-0.00854051420026927,-0.00130801155537387,0.00559100819605387,1.13615920136482,0.197673534554854
"logP.ct[200,260]",-0.0114816014060483,-0.00433600566042087,0.0025010808531383,1.13599437890727,0.205276362806964
"logP.ct[200,256]",-0.0105567123999637,-0.00347594751855206,0.00342729491524869,1.13597958158431,0.212879191059074
"logP.ct[200,204]",-0.00709415903556773,1.98763742279716e-05,0.00685822781921912,1.13592158233362,0.220482019311184
"logP.ct[200,236]",-0.00860485350146068,-0.0014014409183401,0.00545987820790954,1.13590422719791,0.228084847563294
"logP.ct[200,242]",-0.0103251130960531,-0.00325600067259871,0.00359006418150701,1.1358987064146,0.235687675815403
"logP.ct[200,263]",-0.0102482575496879,-0.00307561231031618,0.00381403877453091,1.13587677531178,0.243290504067513
"logP.ct[200,225]",-0.00606945696459067,0.00110061465578418,0.00789375006619981,1.13586774074796,0.250893332319623
"logP.ct[200,231]",-0.00683743118284258,0.000375089897198491,0.00717918872468865,1.13585733184467,0.258496160571733
"logP.ct[200,230]",-0.00790207991786666,-0.000668114297435204,0.00627302219524373,1.13583415199704,0.266098988823842
"logP.ct[200,220]",-0.00726744140587436,-3.55563146778326e-05,0.00685378021676453,1.13574534341708,0.273701817075952
"logP.ct[200,200]",-0.00748496027100128,-0.000358453934619846,0.00642853925165726,1.13569812780357,0.281304645328062
"logP.ct[200,197]",-0.00526731027466693,0.0019727778523026,0.00882283676278359,1.13567015443567,0.288907473580172
"logP.ct[200,226]",-0.00613406736176715,0.00111114588109942,0.00801463213554536,1.13558894042171,0.296510301832282
"logP.ct[200,257]",-0.0104246355798189,-0.00314499882725642,0.00367088945897829,1.1355103415157,0.304113130084391
"logP.ct[200,239]",-0.0120080375839987,-0.00493429920150644,0.00197365249547103,1.13539836929197,0.311715958336501
"logP.ct[200,243]",-0.00969418124983921,-0.00256546405387571,0.00425362310388296,1.13536718715532,0.319318786588611
"logP.ct[200,262]",-0.0104408914563494,-0.00328927074515183,0.00359042533840052,1.13535036028299,0.326921614840721
"logP.ct[200,196]",-0.00497348297698284,0.00221153896926021,0.00905729242301023,1.13533661323901,0.334524443092831
"logP.ct[200,250]",-0.0105083244785086,-0.00335388022973727,0.00354400901487236,1.13531359253954,0.34212727134494
"logP.ct[200,203]",-0.00755736542004213,-0.00037163015630383,0.00650338601830478,1.13530867511687,0.34973009959705
"logP.ct[200,246]",-0.0111261785049269,-0.00396038863623363,0.00289988941696044,1.13527276414002,0.35733292784916
"logP.ct[200,190]",-0.00102832621567191,0.00616828907479248,0.0130641600469953,1.13516955536741,0.36493575610127
"logP.ct[200,210]",-0.0101146978747999,-0.00297873096320863,0.00377654254199604,1.13512349223293,0.372538584353379
"logP.ct[200,229]",-0.00698111033517532,0.000175824902314554,0.00697094101467594,1.13510637683363,0.380141412605489
"logP.ct[200,219]",-0.00673148355990093,0.000514256826294409,0.00738865427456778,1.13508325285234,0.387744240857599
"logP.ct[200,198]",-0.00511095271204231,0.00203259519334772,0.0088609392338598,1.13507533802939,0.395347069109709
"logP.ct[200,218]",-0.00432096632980542,0.00284818233294606,0.00970164424906186,1.1350341559344,0.402949897361819
"logP.ct[200,252]",-0.0099225659835973,-0.00280278359896339,0.00401597596220717,1.13489534755769,0.410552725613928
